ID	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	Aadorf	0.8265	-0.0616	1	4	2.5
2	Aadorf=>Elgg	0.8199	-0.0583	1	2	0.9524
3	Aadorf=>Guntershausen	0.8322	-0.0652	1	2	1.0476
4	Elgg	0.8136	-0.0551	1	4	1.4872
5	Guntershausen	0.8381	-0.0685	1	4	2
6	Aarau	0.0935	0.2045	5	16	1.5951
7	Aarau=>Brugg AG	0.1782	0.2033	5	2	0.1175
8	Aarau=>Lenzburg	0.1351	0.1858	5	2	0.3189
9	Aarau=>Olten	-0.0079	0.2227	5	2	0.199
10	Aarau=>Rupperswil	0.1286	0.1988	5	2	0.4431
11	Aarau=>Schönenwerd SO	0.0182	0.2202	5	2	0.5661
12	Aarau=>Sissach	0.0008	0.2549	5	2	0.0884
13	Aarau=>Wildegg	0.1477	0.2021	5	2	0.2261
14	Aarau=>Zürich HB	0.3094	0.1284	5	2	0.0713
15	Brugg AG	0.2112	0.202	5	15	1.5877
16	Lenzburg	0.1681	0.1705	5	20	2.7608
17	Olten	-0.0982	0.2385	5	36	2.592
18	Rupperswil	0.1396	0.1968	5	6	2.837
19	Schönenwerd SO	0.0086	0.222	5	4	2.2829
20	Sissach	-0.0469	0.2804	5	10	2.0102
21	Wildegg	0.1547	0.2016	5	8	1.8833
22	Zürich HB	0.4476	0.0797	5	38	3.04
23	Aarberg	-0.7175	0.2845	11	4	2.5
24	Aarberg=>Bargen	-0.7268	0.2806	11	2	1.5263
25	Aarberg=>Lyss Grien	-0.7073	0.2878	11	2	0.9737
26	Bargen	-0.7312	0.2786	11	4	3
27	Lyss Grien	-0.6975	0.2907	11	4	2.5
28	Aarburg-Oftringen	-0.121	0.2062	12	6	2.5
29	Aarburg-Oftringen=>Olten	-0.1133	0.2165	12	2	0.7252
30	Aarburg-Oftringen=>Rothrist	-0.1386	0.2065	12	2	0.5476
31	Aarburg-Oftringen=>Zofingen	-0.1108	0.1897	12	2	0.6345
32	Rothrist	-0.1501	0.2068	12	5	1.2881
33	Zofingen	-0.1015	0.1757	12	14	2.3629
34	Aathal	0.6087	0.0251	1	4	2.4937
35	Aathal=>Uster	0.6036	0.0275	1	2	0.8202
36	Aathal=>Wetzikon	0.614	0.0223	1	2	0.8494
37	Uster	0.5958	0.0313	1	8	1.5202
38	Wetzikon	0.6221	0.0182	1	10	1.6842
39	Acla da Fontauna	0.7763	-0.2912	13	4	1.8333
40	Acla da Fontauna=>Disentis/Mustér	0.7829	-0.2869	13	2	0.625
41	Acla da Fontauna=>Segnas	0.7649	-0.298	13	2	1
42	Disentis/Mustér	0.8106	-0.27	13	8	1.2928
43	Segnas	0.7532	-0.3039	13	4	2
44	Aefligen	-0.4423	0.262	7	4	2.0648
45	Aefligen=>Kirchberg-Alchenflüh	-0.4413	0.2555	7	2	0.9874
46	Aefligen=>Utzenstorf	-0.4431	0.2702	7	2	0.9545
47	Kirchberg-Alchenflüh	-0.441	0.2498	7	4	1.8068
48	Utzenstorf	-0.4438	0.2778	7	4	1.3514
49	Aesch	-0.1336	0.4	5	5	2.1956
50	Aesch=>Dornach-Arlesheim	-0.1247	0.3948	5	2	1.1605
51	Aesch=>Duggingen	-0.1437	0.4048	5	2	1.4659
52	Dornach-Arlesheim	-0.118	0.3909	5	4	2.1602
53	Duggingen	-0.1482	0.4064	5	4	3
54	Affoltern am Albis	0.3473	0.0629	10	4	1.3547
55	Affoltern am Albis=>Hedingen	0.3495	0.0676	10	2	0.9749
56	Affoltern am Albis=>Mettmenstetten	0.3438	0.0564	10	2	0.7609
57	Hedingen	0.3513	0.0719	10	4	1.8372
58	Mettmenstetten	0.3423	0.0535	10	4	2
59	Aigle	-0.9351	-0.386	2	14	2.4396
60	Aigle-Hôpital	-0.903	-0.4086	15	5	2.4257
61	Aigle=>Bex	-0.9217	-0.4044	2	2	0.347
62	Aigle=>Martigny	-0.8782	-0.4376	2	2	0.0834
63	Aigle=>Montreux	-0.9682	-0.3517	2	2	0.2951
64	Aigle=>Roche VD	-0.9705	-0.3513	2	2	0.5142
65	Aigle=>St-Maurice	-0.9134	-0.4264	2	2	0.2183
66	Aigle=>Villeneuve	-0.9945	-0.327	2	2	0.2094
67	Aigle-Hôpital=>Aigle	-0.9227	-0.3946	2	2	1.3618
68	Aigle-Hôpital=>St-Triphon-Village	-0.8906	-0.4169	15	2	1.4844
69	St-Triphon-Village	-0.8845	-0.421	15	5	2.569
70	Bex	-0.9123	-0.4169	2	6	0.942
71	Martigny	-0.862	-0.4525	2	21	2.736
72	Montreux	-1.0228	-0.2947	2	22	3.2535
73	Roche VD	-0.9715	-0.3502	2	4	2
74	St-Maurice	-0.9021	-0.4473	2	10	1.1267
75	Villeneuve	-0.9969	-0.3241	2	9	1.9794
76	Airolo	0.3134	-0.4101	8	6	0.8088
77	Airolo=>Ambrì-Piotta	0.3131	-0.4177	8	2	0.4813
78	Airolo=>Bellinzona	0.3071	-0.4682	8	2	0.0335
79	Airolo=>Göschenen	0.3146	-0.3985	8	2	0.3299
80	Ambrì-Piotta	0.3132	-0.4277	8	4	1.3111
81	Bellinzona	0.3017	-0.5194	8	13	0.8643
82	Göschenen	0.3162	-0.3696	8	8	0.9945
83	Albeuve	-1.1526	-0.3074	14	4	3
84	Albeuve=>Lessoc	-1.1486	-0.3138	14	2	1.5
85	Albeuve=>Neirivue	-1.1558	-0.3008	14	2	1.5
86	Lessoc	-1.1466	-0.3163	14	4	2.5
87	Neirivue	-1.1571	-0.2972	14	4	2.5
88	Allaman	-1.203	-0.0058	6	7	1.6551
89	Allaman=>Coppet	-1.262	-0.0103	6	2	0.0817
90	Allaman=>Etoy	-1.2002	-0.0054	6	2	1.2571
91	Allaman=>Morges	-1.1916	-0.0051	6	2	0.381
92	Allaman=>Rolle	-1.2126	-0.0067	6	2	0.6667
93	Coppet	-1.2654	-0.0107	6	9	1.6363
94	Etoy	-1.1992	-0.0049	6	4	2.9804
95	Morges	-1.1803	-0.004	6	18	2.0624
96	Rolle	-1.2165	-0.007	6	4	1.2247
97	Allières	-1.1154	-0.3417	2	4	1.75
98	Allières=>Les Cases	-1.1141	-0.3417	2	2	1.0217
99	Allières=>Les Sciernes	-1.1167	-0.3424	2	2	0.7283
100	Les Cases	-1.1124	-0.3409	2	4	2
101	Les Sciernes	-1.1192	-0.3425	2	5	1.5833
102	Alp Grüm	1.4598	0.2825	3	9	0.5237
103	Alp Grüm=>Cavaglia	1.4545	0.292	3	2	0.1607
104	Alp Grüm=>Ospizio Bernina	1.4662	0.2726	3	2	0.2634
105	Alp Grüm=>Pontresina	1.4708	0.221	3	2	0.0409
