PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_GESE_CHY,SBB,1,Genève Aéroport - Lausanne,STRECKE,GESE,Genève-Sécheron,CHY,Chambésy,126307,Genève,Ident,16283,390.4,500153.08,119825.45,None,11,None,Switzerland,*,6621,6621,SBB CFF FFS,None,"6.14454714955, 46.2224480511","6.14732717469, 46.2423883571"
SBB_GIBU_ROL,SBB,1,Genève Aéroport - Lausanne,STRECKE,GIBU,Gilly-Bursinel,ROL,Rolle,97943,Bursinel,Ident,1032,429.4,512995.17,144376.65,*,11,None,Switzerland,None,5852,5852,SBB CFF FFS,None,"6.30636755445, 46.4450640594","6.3364074853, 46.4627442908"
SBB_MIES_TAN,SBB,1,Genève Aéroport - Lausanne,STRECKE,MIES,Mies,TAN,Tannay,126101,Mies,Ident,1014,394.7,502222.94,128400.9,None,11,None,Switzerland,*,5723,5723,SBB CFF FFS,None,"6.16956925257, 46.2998837999","6.18111951391, 46.3076442488"
SBB_MOR_STJ,SBB,1,Genève Aéroport - Lausanne,STRECKE,MOR,Morges,STJ,Morges-St-Jean,121566,Morges,Ident,1037,381.2,527498.18,151525.28,None,11,*,Switzerland,*,5642,5642,SBB CFF FFS,None,"6.49396657295, 46.5110943408","6.5080466068, 46.5181943179"
SBB_PER_ALL,SBB,1,Genève Aéroport - Lausanne,STRECKE,PER,Perroy,ALL,Allaman,98005,Perroy,Ident,1034,419.5,517386.3,147223.17,*,11,None,Switzerland,None,5860,5860,SBB CFF FFS,None,"6.3629973972, 46.4712243911","6.3997071623, 46.4757445942"
SBB_PRN_GLA,SBB,1,Genève Aéroport - Lausanne,STRECKE,PRN,Prangins,GLA,Gland,98503,Prangins,Ident,1040,417,508196.02,138993.53,*,11,None,Switzerland,None,5725,5725,SBB CFF FFS,None,"6.24498850107, 46.3960039685","6.26913796108, 46.4199840811"
SBB_TUI_GDBE,SBB,1,Genève Aéroport - Lausanne,STRECKE,TUI,Les Tuileries,GDBE,Genthod-Bellevue,126311,Bellevue,Ident,1011,389.2,500417.99,122879.65,None,11,None,Switzerland,*,6606,6606,SBB CFF FFS,None,"6.14732757249, 46.2499580317","6.15395779335, 46.2567477219"
SBB_JON_SJ,SBB,2,St-Jean / Furet - Lancy-Bâtie - Chêne-Bourg-Fr. - (Annemasse),STRECKE,JON,Jonction (Genève),SJ,St-Jean (bif),25814,Genève,Ident,1041,385.5,498286.22,117566.22,None,11,*,Switzerland,None,6621,6621,SBB CFF FFS,None,"6.12084808769, 46.2018478104","6.12771746891, 46.2055677891"
SBB_LABA_LAPR,SBB,2,St-Jean / Furet - Lancy-Bâtie - Chêne-Bourg-Fr. - (Annemasse),STRECKE,LABA,Lancy-Bâtie (bif),LAPR,Lancy-Pont-Rouge,25795,Lancy,Ident,16281,384,498594.18,116230.21,*,11,None,Switzerland,None,6628,6628,SBB CFF FFS,None,"6.12512743566, 46.1898778174","6.12495526234, 46.1859404067"
SBB_RUS_SY,SBB,3,La Plaine Frontière - Genève,STRECKE,RUS,Russin,SY,Satigny,40988,Russin,Ident,1002,377.9,490285.68,116142.9,None,11,None,Switzerland,*,6637,6637,SBB CFF FFS,None,"6.01754977864, 46.1877882306","6.03749960767, 46.2142381831"
